-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::nan_to_num         0.16%       1.602ms         0.78%       7.587ms      40.788us       4.696ms         1.16%       9.392ms      50.494us           0 B           0 B     765.00 MB           0 B           186  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.696ms         1.16%       4.696ms      50.494us           0 B           0 B           0 B           0 B            93  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.077ms         1.00%       4.077ms      56.619us           0 B           0 B           0 B           0 B            72  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.045ms         1.00%       4.045ms      56.176us           0 B           0 B           0 B           0 B            72  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.815ms         0.94%       3.815ms      26.493us           0 B           0 B           0 B           0 B           144  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.812ms         0.94%       3.812ms      23.977us           0 B           0 B           0 B           0 B           159  
                                             aten::tanh         0.17%       1.691ms         0.41%       3.983ms      27.659us       3.802ms         0.94%       3.802ms      26.401us           0 B           0 B     576.04 MB     576.04 MB           144  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 974.461ms
Self CUDA time total: 406.480ms
