-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.287ms         1.62%       6.287ms      19.772us           0 B           0 B           0 B           0 B           318  
                                       aten::nan_to_num         0.18%       1.668ms         0.79%       7.512ms      40.387us       4.740ms         1.22%       9.480ms      50.967us           0 B           0 B     765.00 MB           0 B           186  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.710ms         1.22%       4.710ms      54.140us           0 B           0 B           0 B           0 B            87  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.368ms         1.13%       4.368ms      30.336us           0 B           0 B           0 B           0 B           144  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.354ms         1.12%       4.354ms      27.381us           0 B           0 B           0 B           0 B           159  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.088ms         1.06%       4.088ms      56.773us           0 B           0 B           0 B           0 B            72  
                                             aten::tanh         0.20%       1.852ms         0.44%       4.204ms      29.195us       3.874ms         1.00%       3.874ms      26.901us           0 B           0 B     576.04 MB     576.04 MB           144  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 948.951ms
Self CUDA time total: 387.168ms
